SNMPv2-SMI::transmission.127.1.1.4.1.2.389740 = Counter32: 3965394650;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389741 = Counter32: 3809307171;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389742 = Counter32: 1483876437;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389743 = Counter32: 1678509695;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389744 = Counter32: 570397613;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389745 = Counter32: 346394880;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389746 = Counter32: 4270410700;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389747 = Counter32: 282108521;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389748 = Counter32: 1914946573;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389749 = Counter32: 1250409315;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389784 = Counter32: 2980003399;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389785 = Counter32: 2573741128;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389786 = Counter32: 616632184;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389787 = Counter32: 280010500;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389788 = Counter32: 4138227686;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389789 = Counter32: 3262689138;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389792 = Counter32: 115132438;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389793 = Counter32: 3151796;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389794 = Counter32: 457975606;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389795 = Counter32: 99731439;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389832 = Counter32: 2751052619;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389833 = Counter32: 2642033498;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389834 = Counter32: 923143108;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389835 = Counter32: 842308439;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389836 = Counter32: 6349049;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389837 = Counter32: 3856395021;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389840 = Counter32: 4265490610;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389841 = Counter32: 4031224;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389842 = Counter32: 1565661422;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389843 = Counter32: 1950561391;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389844 = Counter32: 3183742557;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389845 = Counter32: 3007038064;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389880 = Counter32: 420206007;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389881 = Counter32: 4275378361;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389882 = Counter32: 120664702;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389883 = Counter32: 2958322832;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389884 = Counter32: 765196095;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389885 = Counter32: 341817838;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389886 = Counter32: 4172038013;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389887 = Counter32: 3825788856;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389928 = Counter32: 537036854;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389929 = Counter32: 408858927;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389930 = Counter32: 2647666695;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389931 = Counter32: 2487702658;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389932 = Counter32: 1474345058;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389933 = Counter32: 534589102;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389936 = Counter32: 1493306166;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389937 = Counter32: 785852103;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389938 = Counter32: 1809208334;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389939 = Counter32: 1733960034;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389940 = Counter32: 944398485;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389941 = Counter32: 922318574;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389976 = Counter32: 637963540;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389977 = Counter32: 222621834;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389978 = Counter32: 577568776;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389979 = Counter32: 302170718;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389980 = Counter32: 3169703285;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389981 = Counter32: 2518539081;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389984 = Counter32: 491314459;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389985 = Counter32: 807916058;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389986 = Counter32: 284713830;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.389987 = Counter32: 4178126534;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392040 = Counter32: 330989737;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392041 = Counter32: 91073149;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392042 = Counter32: 4183427837;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392043 = Counter32: 3839501626;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392048 = Counter32: 2413199523;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392049 = Counter32: 2021858932;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392050 = Counter32: 856368058;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392051 = Counter32: 996067990;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392052 = Counter32: 4165787556;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392053 = Counter32: 3643623542;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392088 = Counter32: 1329177515;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392089 = Counter32: 1321980943;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392090 = Counter32: 1469230585;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392091 = Counter32: 1501511385;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392092 = Counter32: 208274099;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392093 = Counter32: 94293479;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392094 = Counter32: 3755400538;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392095 = Counter32: 3541847499;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392096 = Counter32: 4289304377;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392097 = Counter32: 3934666149;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392098 = Counter32: 1743655098;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392099 = Counter32: 1363878252;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392100 = Counter32: 2392812528;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392101 = Counter32: 1634130080;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392136 = Counter32: 4278887085;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392137 = Counter32: 3915683713;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392138 = Counter32: 4051692462;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392139 = Counter32: 3724908386;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392144 = Counter32: 2527626827;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392145 = Counter32: 1812907452;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392146 = Counter32: 1885090023;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392147 = Counter32: 1876372028;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392148 = Counter32: 207327787;127.0.192.8 
